State,Title,Author,Year_Banned,Theme,Reason,Latitude,Longitude
Pennsylvania,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),41.203323,-77.194527
New Jersey,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),40.058323,-74.405663
Illinois,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),40.633125,-89.398529
Ohio,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),40.417286,-82.907120
Michigan,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),44.314842,-85.602364
Indiana,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),40.267193,-86.134903
Wisconsin,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),43.784439,-88.787865
Missouri,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),37.964252,-91.831833
Minnesota,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),46.729553,-94.685898
Iowa,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),41.878002,-93.097702
Kansas,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),39.011902,-98.484245
Nebraska,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),41.492538,-99.901810
South Dakota,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),43.969517,-99.901810
North Dakota,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),47.551495,-101.002014
Florida,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),27.664827,-81.515755
Georgia,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),32.165623,-82.900078
North Carolina,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),35.759575,-79.019302
Virginia,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),37.431572,-78.656891
Maryland,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),39.045753,-76.641273
South Carolina,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),39.045753,-76.641273
West Virginia,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),38.597626,-80.454903
Delaware,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),38.910831,-75.527672
Columbia district,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),38.904781,"
-77.016289"
Tennesse,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),35.517490,-86.580444
Alabama,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),32.576229,-86.680740
Kentucky,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),37.839333,-84.270020
Mississippi,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),32.354668,-89.398529
Texas,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),31.968599,-99.901810
Louisiana ,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),30.984299,-91.962334
Oklahoma,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),35.007751,-97.092880
Arkansas,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),35.201050,-91.831833
Arizona,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),34.048927,-111.093735
Colorado,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),39.550053,-105.782066
Utah,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),39.320980,-111.093735
Nevada,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),38.802608,-116.419388
New Mexico,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),34.519939,-105.870087
Idaho,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),44.068203,-114.742043
Montana,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),46.879681,-110.362564
Wyoming,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),43.075970,-107.290283
California,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),36.778259,-119.417931
"Washington, D.C.","""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),38.907192,-77.036873
Oregon,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),43.804134,-120.554199
Hawaii,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),19.896767,-155.582779
Alaska,"""Lady Chatterley's Lover""",D.H Lawrence,1928,"love and sexual fulfilment, class conflict, nature vs industrialisation, isolation",obscenity charges and its controversial content (sexuality and critique of class structures),64.200844,-149.493668
Boston,"""Oil!""",Upton Sinclair,1927,"greed, propaganda and distortion, class conflict, religion, industralisation",explicit content,42.360081,-71.058884
Tennessee,"""On the Origin of Species""",Charles Darwin,1925-1967,natural selection and evolution,human evolution,35.517490,-86.580444
Boston,"""The Sun Also Rises""",Ernest Hemingway,1926,"disillusionment, masculinity, impact of world war I, alienation, exile",sexual themes and language,42.360081,-71.058884
Ohio,"""Three Weeks""",Elinor Glyn,1909,"love and desire, social class, female empowerment, nature of romance, tragedy and loss.",sexual content,40.417286,-82.907120
New York,"""Ulysses""",James Joyce,1920,"alienation, love and sexuality, religion, national identity, colonialism, freedom vs confinement","explicit content, sexuality",40.712776,-74.005974
Boston,"""Antic Hay""",Aldous Huxley,1923,"disillusionment, absurdity of modern life, class and social critique, search for authenticity, gender roles, impact of technology","obscenity, open discussions about sex and its cynical portrayal of society",42.360081,-71.058884
Boston,"""Desire Under the Elms""",Eugene O'Neill,1926,"human desire, guilt, forbidden love, american dream, nature, gender roles", incestuous desire and sexual themes,42.360081,-71.058884
Boston,"""Strange Interlude""",Eugene O'Neill,1929,"human desire, past influences, mental health, identity, gender roles","sensitive topics such as promiscuity, abortion, and adultery",42.360081,-71.058884
Boston,"""The Canterbury Tales""",Geoffrey Chaucer,1920,"social satire, class statues, courtly love, sexual desire, gender roles, church corruption",explicit content and critique of religious authorities,42.360081,-71.058884
New York,"""The Canterbury Tales""",Geoffrey Chaucer,1920,"social satire, class statues, courtly love, sexual desire, gender roles, church corruption",explicit content and critique of religious authorities,40.712776,-74.005974
Boston,"""The Decameron""",Giovanni Boccaccio,1920,"love and lust, fortune and fate, gender roles, class","sexual situations, bawdy humor, and critiques of the clergy",42.360081,-71.058884
New York,"""The Decameron""",Giovanni Boccaccio,1930,"love and lust, fortune and fate, gender roles, class","sexual situations, bawdy humor, and critiques of the clergy",40.712776,-74.005974
Florida,“1984”,George Orwell,1981,"totalitarianism, surveillance, the relationship between the individual and society","social and political themes, sexual content, and accusations of being pro-communist.",27.664827,-81.515755
Tulsa,“The Catcher in the Rye”,J.D. Salinger,1960,"alienation and isolation, loss of innocence, sexuality, madness, death",teenage rebellion and criticism of societal norms,36.153980,-95.992775
Oklahoma,“The Catcher in the Rye”,J.D. Salinger,1986,"alienation and isolation, loss of innocence, sexuality, madness, death",teenage rebellion and criticism of societal norms,35.007751,-97.092880
New York,“The Scarlet Letter”,Nathaniel Hawthorne,1966,"sin and guilt, identity and self perception, puritanism, hypocrisy, female resilience, love and passion","adultery , morality and perceived obscenity",40.712776,-74.005974
Virginia,“To Kill a Mockingbird”,Harper Lee,1966,"good vs. evil, social inequality, prejudice, law",racial injustice and its portrayal of African Americans,37.431572,-78.656891
Iowa,“The Grapes of Wrath”,John Steinbeck,1980,"Humanity, inhumanity and dehumanization, dignity, honor, and wrath, powerlessness, perseverance, and resistance, class conflict","occasional obscene language, communist propaganda",41.878002,-93.097702
Michigan,“Slaughterhouse Five”,Kurt Vonnegut,1972,"destructiveness of war, fate and free will, acceptance of death, time and memory, absurdity and foolishness","obscenity, vulgar language, violence, inappropriateness, un-Godliness, immoral subject matter, cruelty, and an unpatriotic portrayal of war.",44.314842,-85.602364
South Carolina,“The Great Gatsby”,F. Scott Fitzgerald,1987,"the American dream, society and class, love and marriage, power",language and sexual references,35.759575,-79.019302
California,“The Color Purple”,Alice Walker,1984,"God and spirituality, race and racism, gender roles, violence and suffering","use of slang and profanity, portrayal of brutal Black men, a same-sex encounter, and depiction of sexual violence",36.778259,-119.417931
Illinois,“The Canterbury Tales”,Geoffrey Chaucer,1995,"social satire, class statues, courtly love, sexual desire, gender roles, church corruption",explicit content and critique of religious authorities,40.633125,-89.398529
Michigan,“The Da Vinci Code”,Dan Brown,2007,"Art, religion, power, manipulation, secrets, women and femininity",being offensive to Christianity and blasphemous content,44.314842,-85.602364
Texas,“Harry Potter: The Philosopher’s Stone”,J.K. Rowling,2001-2002,"magic, friendship, death, good vs. evil",allegedly promoting witchcraft,31.968599,-99.901810
Georgia,“Harry Potter: The Philosopher’s Stone”,J.K. Rowling,2006,"magic, friendship, death, good vs. evil",allegedly promoting witchcraft,32.165623,-82.900078
New Mexico,“The Lord of the Rings : The fellowship of the ring” ,J.R.R. Tolkien,2001,"the corrupting influence of power, inevitability of decline, the power of myth",Accused of being “satanic”,34.519939,-105.870087
Texas,“The Lord of the Rings : The fellowship of the ring” ,J.R.R. Tolkien,2022-2023,"the corrupting influence of power, inevitability of decline, the power of myth",Accused of being “satanic”,31.968599,-99.901810
Michigan,“The Adventures of Captain Underpants”,Dav Pilkey ,2015,"death, suicide, guilt and blame, betrayal, sex, violence, love","alleged “passively racist imaginery”, violence and misbehavior, partial nudity ",44.314842,-85.602364
Florida,“Thirteen Reasons Why”,Jay Asher,2017,"death, suicide, guilt and blame, betrayal, sex, violence, love","addressing teenage suicide, sexual explicitness, drugs, alcohol, and smoke depictions",27.664827,-81.515755
Michigan,“Thirteen Reasons Why”,Jay Asher,2017,"death, suicide, guilt and blame, betrayal, sex, violence, love","addressing teenage suicide, sexual explicitness, drugs, alcohol, and smoke depictions",44.314842,-85.602364
North Carolina,“Thirteen Reasons Why”,Jay Asher,2017,"death, suicide, guilt and blame, betrayal, sex, violence, love","addressing teenage suicide, sexual explicitness, drugs, alcohol, and smoke depictions",35.759575,-79.019302
South Carolina,“Thirteen Reasons Why”,Jay Asher,2017,"death, suicide, guilt and blame, betrayal, sex, violence, love","addressing teenage suicide, sexual explicitness, drugs, alcohol, and smoke depictions",35.759575,-79.019302
Utah,“Thirteen Reasons Why”,Jay Asher,2017,"death, suicide, guilt and blame, betrayal, sex, violence, love","addressing teenage suicide, sexual explicitness, drugs, alcohol, and smoke depictions",39.320980,-111.093735
Texas,“Thirteen Reasons Why”,Jay Asher,2017,"death, suicide, guilt and blame, betrayal, sex, violence, love","addressing teenage suicide, sexual explicitness, drugs, alcohol, and smoke depictions",31.968599,-99.901810
North Dakota,“Thirteen Reasons Why”,Jay Asher,2017,"death, suicide, guilt and blame, betrayal, sex, violence, love","addressing teenage suicide, sexual explicitness, drugs, alcohol, and smoke depictions",47.551495,-101.002014
Pennsylvania,“Thirteen Reasons Why”,Jay Asher,2017,"death, suicide, guilt and blame, betrayal, sex, violence, love","addressing teenage suicide, sexual explicitness, drugs, alcohol, and smoke depictions",41.203323,-77.194527
Texas,“The Handmaid’s Tale”,Margaret Atwood,2022-2023,"complicity to totalitarian regime, gender roles, religion and theocracy, fertility","profanity, anti-Christianity",31.968599,-99.901810
Florida,“The Handmaid’s Tale”,Margaret Atwood,2022-2023,"complicity to totalitarian regime, gender roles, religion and theocracy, fertility","profanity, anti-Christianity",27.664827,-81.515755
Texas,“Call Me by Your Name”,Andre Aciman,2022-2023,"identity and attraction, love, sexuality","LGBTQ+ themes, sexual content, discussions of suicide and mental illness",31.968599,-99.901810
Florida,“Call Me by Your Name”,Andre Aciman,2022-2023,"identity and attraction, love, sexuality","LGBTQ+ themes, sexual content, discussions of suicide and mental illness",27.664827,-81.515755
Texas,“Aristotle and Dante Discover the Secrets of the Universe,Benjamin Sáenz,2022-2023,"Mexican-American identity, gender and sexuality, masculine gender roles, homosexuality, intellectualism and artistic expression ",depictions of homosexuality and references to drugs and sex,31.968599,-99.901810
Florida,“Aristotle and Dante Discover the Secrets of the Universe”,Benjamin Sáenz,2022-2023,"Mexican-American identity, gender and sexuality, masculine gender roles, homosexuality, intellectualism and artistic expression ",depictions of homosexuality and references to drugs and sex,27.664827,-81.515755
Texas,“The DUFF: Designated Ugly Fat Friend”,Kody Keplinger,2022-2023,"body image issues, sexual content","profanity, sexually explicit content",31.968599,-99.901810
Florida,“The DUFF: Designated Ugly Fat Friend”,Kody Keplinger,2022-2023,"body image issues, sexual content","profanity, sexually explicit content",27.664827,-81.515755
Texas,“Throne of Glass”,Sarah J. Maas,2022-2023,"power, desire, good vs. evil, morality",sexual content,31.968599,-99.901810
Florida,“Throne of Glass”,Sarah J. Maas,2022-2023,"power, desire, good vs. evil, morality",sexual content,27.664827,-81.515755
Texas,“I’ll Give You the Sun”,Jandy Nelson,2022-2023,"grief, sexuality, creativity, identity, guilt",sexual activities (not suitable for young kids),31.968599,-99.901810
Florida,“I’ll Give You the Sun”,Jandy Nelson,2022-2023,"grief, sexuality, creativity, identity, guilt",sexual activities (not suitable for young kids),27.664827,-81.515755
Texas,“Gabi a Girl in Pieces”,Isabel Quintero,2022-2023,"drug use, addiction, gender roles, body image issues, identity and coming out",LGBTQ+ themes,31.968599,-99.901810
Florida,“Gabi a Girl in Pieces”,Isabel Quintero,2022-2023,"drug use, addiction, gender roles, body image issues, identity and coming out",LGBTQ+ themes,27.664827,-81.515755
Texas,“Eleanor and Park”,Rainbow Rowell,2022-2023,"adolescence, social isolation, young love ","crude language, depictions of sexuality",31.968599,-99.901810
Florida,“Eleanor and Park”,Rainbow Rowell,2022-2023,"adolescence, social isolation, young love ","crude language, depictions of sexuality",27.664827,-81.515755
Texas,“Gender Queer: A Memoir”,Maia Kobabe,2022-2023,"self-identity, gender dysphoria ","explicit sexual content, LGBTQ+ themes",31.968599,-99.901810
Florida,“Gender Queer: A Memoir”,Maia Kobabe”,2022-2023,"self-identity, gender dysphoria ","explicit sexual content, LGBTQ+ themes",27.664827,-81.515755
